date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:50:04	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f1a48a3-247b%22	https://arpitjainds.github.io/robots.txt		(from )
21:50:04	66890/66890	---M-Z	200	added ('OK')	text/html	etag:W/%2260b32473-1054a%22	https://arpitjainds.github.io/	C:/My%20Web%20Sites/project1/arpitjainds.github.io/index.html	(from )
21:50:05	127158/127158	---M-Z	200	added ('OK')	text/css	etag:W/%2260b32473-1f0b6%22	https://arpitjainds.github.io/css/main.css	C:/My%20Web%20Sites/project1/arpitjainds.github.io/css/main.css	(from https://arpitjainds.github.io/)
21:50:05	38457/38457	---M--	200	added ('OK')	image/png	etag:%2260b32473-9639%22	https://arpitjainds.github.io/images/ogImage.png	C:/My%20Web%20Sites/project1/arpitjainds.github.io/images/ogImage.png	(from https://arpitjainds.github.io/)
21:50:05	3778/3778	---M-Z	200	added ('OK')	text/css	etag:W/%2260b32473-ec2%22	https://arpitjainds.github.io/css/mainpreloadereffect.css	C:/My%20Web%20Sites/project1/arpitjainds.github.io/css/mainpreloadereffect.css	(from https://arpitjainds.github.io/)
21:50:05	8372/8372	---M-Z	200	added ('OK')	application/javascript	etag:W/%2260b32473-20b4%22	https://arpitjainds.github.io/js/modernizr.custom.js	C:/My%20Web%20Sites/project1/arpitjainds.github.io/js/modernizr.custom.js	(from https://arpitjainds.github.io/)
21:50:06	8101/8101	---M--	200	added ('OK')	image/png	etag:%2260b32473-1fa5%22	https://arpitjainds.github.io/images/old/AJ%20Small.png	C:/My%20Web%20Sites/project1/arpitjainds.github.io/images/old/AJ%20Small.png	(from https://arpitjainds.github.io/)
21:50:06	435/435	---M-Z	200	added ('OK')	application/manifest+json	etag:W/%2260b32473-1b3%22	https://arpitjainds.github.io/site.webmanifest	C:/My%20Web%20Sites/project1/arpitjainds.github.io/site.webmanifest	(from https://arpitjainds.github.io/)
21:50:06	469595/469595	---M--	200	added ('OK')	image/gif	etag:%2260b32473-72a5b%22	https://arpitjainds.github.io/images/arpitlogo1.gif	C:/My%20Web%20Sites/project1/arpitjainds.github.io/images/arpitlogo1.gif	(from https://arpitjainds.github.io/)
21:50:06	66890/66890	---M-Z	200	added ('OK')	text/html	etag:W/%2260b32473-1054a%22	https://arpitjainds.github.io/index.html	C:/My%20Web%20Sites/project1/arpitjainds.github.io/index-2.html	(from https://arpitjainds.github.io/)
